Order_No,Order_Date,Item_Description,No_of_Ordered_Item,Item_Rate,Ordered_Item_Amount
19884,24-10-2020 20:56:15,"Grocery Combo (1 Kg Sugar, Oil 1 ltr, Rice 1 kg, Dal 1kg)",1,340,340
18310,17-10-2020 20:35:44,"cloth bag, BROWN, S",1,14,14
18310,17-10-2020 20:35:44,Orange 1kg Pack,1,40,40
18310,17-10-2020 20:35:44,Potato 2kg pack,1,80,80
18310,17-10-2020 20:35:44,TOMATO 1kg Pack,1,48,48
18310,17-10-2020 20:35:44,Veg Combo(Chilli 300gm+Ginger 400gm+Lemon 300gm),1,90,90
18310,17-10-2020 20:35:44,Okra(500gm Pack),1,20,20
18310,17-10-2020 20:35:44,Cococinea(500gm Pack),1,25,25
16750,16-10-2020 19:29:05,"cloth bag, BROWN, S",1,14,14
16750,16-10-2020 19:29:05,BRITANNIA CHEESE SLICE PLAIN 200 G PP,1,134,134
16750,16-10-2020 19:29:05,LOTTE CHOCOPIE 336 G CBD,1,93,93
16750,16-10-2020 19:29:05,24 MANTRA ORGNC BROWN CHANNA 500 G PP,1,57,57
16750,16-10-2020 19:29:05,AMUL COW GHEE 1 L PP,1,494,494
16750,16-10-2020 19:29:05,BEST FARM LOBIA RED 500 G PP,1,59,59
16750,16-10-2020 19:29:05,AMUL BUTTER GARLC 100 G CBD,1,47,47
16750,16-10-2020 19:29:05,GOOD LIFE ALMOND 500 G PP,1,333,333
16750,16-10-2020 19:29:05,GOOD LIFE W320 CASHEW 500 G PP,1,425,425
16750,16-10-2020 19:29:05,GOOD LIFE TOOR DAL 1 KG PP,1,120,120
16750,16-10-2020 19:29:05,ORGANIC TATTVA BESAN 500 G PP,1,70,70
16750,16-10-2020 19:29:05,ORGANIC TATTVA KABULI CHANA 500 G PP,1,91,91
16750,16-10-2020 19:29:05,ORGANIC TATTVA MOTH 500 G PP,1,84,84
14525,12/10/2020 19:51,"cloth bag, BROWN, S",1,14,14
14525,12/10/2020 19:51,AMUL PURE GHEE 1 L PP,1,445,445
14525,12/10/2020 19:51,RAS MALAI JAGGERY 960G PP,1,69,69
14525,12/10/2020 19:51,MADHUR PURE AND HYGENIC SUGAR 5 kg PP,1,219,219
14525,12/10/2020 19:51,DABUR PRO HAND SANITIZER 250 ml,1,119,119
14525,12/10/2020 19:51,BALAJI STACK UP SALTED 60 G CAN,1,34,34
14525,12/10/2020 19:51,Potato(2KG PACK),1,80,80
14525,12/10/2020 19:51,Veg Combo(Chilli 300gm+Ginger 400gm+Lemon 300gm),1,90,90
13318,10/10/2020 21:50,"cloth bag, BROWN, S",1,14,14
13318,10/10/2020 21:50,BALAJI GUJ MASALA SHING 50 g PP,1,9,9
13318,10/10/2020 21:50,BALAJI GUJ TIKHA MITHA MIX 65 g PP,1,9,9
13318,10/10/2020 21:50,BALAJI GUJ MUNG DAL 50 g PP,1,9,9
13318,10/10/2020 21:50,BIKAJI SOAN PAPDI PREMIUM 450 g CBD,1,80,80
13318,10/10/2020 21:50,BACHUBHAI CRAVE PRM SOANPAPDI 400 g CBD,1,75,75
13318,10/10/2020 21:50,CADBURY CELEBRATION 136.7G RS. 135,1,122,122
13318,10/10/2020 21:50,Apple Simla(1KG PACK),1,105,105
7832,26-08-2020 14:12:59,AASHIRVAAD WHOLE WHEAT ATTA 10 KG PP,1,330,330
7832,26-08-2020 14:12:59,TATA TABLE SALT 1 KG PP,1,18,18
7832,26-08-2020 14:12:59,AMUL PURE GHEE 1 L PP,1,445,445
7832,26-08-2020 14:12:59,KOHINOOR CHRMINAR RZN BASMATI RC 5KG BAG,1,299,299
7832,26-08-2020 14:12:59,TOOR DAL OILY 2 kg PP,1,180,180
7832,26-08-2020 14:12:59,GOOD LIFE SUGAR M 1 KG PP,1,46,46
7832,26-08-2020 14:12:59,TOMATO,1,62,62
7832,26-08-2020 14:12:59,Ginger 500g,1,45,45
7832,26-08-2020 14:12:59,Lemon 250g,1,17,17
7832,26-08-2020 14:12:59,CABBAGE (EA),1,25,25
7832,26-08-2020 14:12:59,POTATO 2 KG PACK,1,76,76
4958,24-08-2020 14:25:09,SUNPRIDE REFINED SUNFLOWER OIL 1 L PP   ,1,99,99
4958,24-08-2020 14:25:09,GOOD LIFE SUGAR M 1 KG PP,1,46,46
3801,22-08-2020 19:02:04,TATA TABLE SALT 1 KG PP,1,20,20
3801,22-08-2020 19:02:04,DAAWAT ROZANA SUPER 90 RICE 1 kg PP,1,62,62
3801,22-08-2020 19:02:04,GOOD LIFE SUGAR M 1 KG PP,1,46,46
3801,22-08-2020 19:02:04,COCONUT (EA),1,28,28
3801,22-08-2020 19:02:04,BANANA ROBUSTA BOX 6Pcs,1,30,30
3801,22-08-2020 19:02:04,POTATO 2 KG PACK,1,72,72
317,04/04/2020 14:45,AASHIRVAAD WHOLE WHEAT ATTA 10 kg PP,1,344,344
317,04/04/2020 14:45,MADHUR PURE AND HYGENIC SUGAR 5 kg PP,1,219,219
